name,address,city,state,zip,phone,website,category,description,latitude,longitude,business_card
Sandhill Cove Retirement Living,1500 S.W. Capri Street,Palm City,FL,34990,(772) 946-1514,http://www.sandhillcove.com,Retirement Living,LifeCare retirement community with first-class amenities and engaging activities,27.188799,-80.274466,assets/business-cards/sandhill-cove-retirement-living.jpg
Elite Gas Contractors,2130 Southwest Poma Drive,Palm City,FL,34990,(772) 220-9678,http://www.elitegasco.com,Propane Gas Services,"Propane gas installation, maintenance, and delivery services",27.17988,-80.37417,assets/business-cards/elite-gas-contractors.jpg
"McBride Legal Group, P.A.",34 SE Osceola Street,Stuart,FL,34994,(772) 236-0234,https://mcbridelegalgroup.com/,Family Law,"Family law attorneys specializing in divorce, paternity, prenuptial agreements, child custody, and domestic violence injunctions",27.198235,-80.25157,assets/business-cards/mcbride-legal-group-p-a.jpg
La Grande Martier,23 Southwest Osceola Street,Stuart,FL,34994,(772) 600-5025,http://www.grandemartier.com,Fine Dining,"European-inspired cuisine in historic downtown Stuart featuring brunch, dinner, live music, and speakeasy circa 1920",27.199174,-80.253287,assets/business-cards/grande-martier.jpg
Rare Earth Gallery,41 SW Flagler Avenue,Stuart,FL,34994,(772) 287-7744,http://store.rareearthgallery.com,Art Gallery,Best of Florida Regional Winner in Art Galleries for 2023. Extensive selection of Florida Highwaymen paintings,27.199086,-80.253927,assets/business-cards/rare-earth-gallery.jpg
Keiser University,9400 SW Discovery Way,Port St. Lucie,FL,34987,(772) 398-9990,http://www.keiseruniversity.edu,Education,,27.254986,-80.420067,
Stuart Martin County Chamber of Commerce,1650 S Kanner Hwy,Stuart,FL,34994,(772) 287-1088,https://www.stuartmartinchamber.org/,Chamber of Commerce,"The largest chamber on the Treasure Coast with 1,400 plus members",27.183152,-80.253499,assets/business-cards/stuart-martin-chamber.png
Locals Lanes,595 NE Ocean Blvd,Stuart,FL,34996,(772) 405-6920,http://www.localslanesfl.com,Entertainment / Dining,"Duckpin bowling, dining, and drinks on Hutchinson Island. Four-lane alley with arcade",27.211245,-80.181136,assets/business-cards/locals-lanes.jpg
New Wave Real Estate Group,1 SE Ocean Boulevard,Stuart,FL,34994,(772) 631-0960,http://www.newwaverealestategroup.com,Real Estate,"Sara Crombie, Broker-Owner. Full-service real estate brokerage",27.197776,-80.252264,assets/business-cards/new-wave-realty.jpg
Precision Disposal of South Florida,419 SE Streamlet Ave,Port St. Lucie,FL,34983,(772) 281-5027,http://www.treasurecoastdumpsterrental.com,Dumpster Rental,Dumpster rental services in Port St. Lucie and South Florida,27.285661,-80.340149,assets/business-cards/precision-disposal.jpg
The Sovana at Stuart,1900 Northwest Federal Highway,Stuart,FL,34994,(772) 621-2565,http://www.thesovana.com,Senior Living,Luxurious 55+ apartment home community in Stuart,27.22742,-80.267823,assets/business-cards/the-sovana-at-stuart.jpg
Adron Fence,"770 SE Indian St., Suite 20",Stuart,FL,34997,(772) 283-4540,http://www.adronfence.com,Fencing,"Licensed and insured fence specialists since 1962. Custom and estate gates, aluminum, PVC, and chain link fence",27.159657,-80.242058,assets/business-cards/adron-fence.jpg
Apex Pavers and Pools,725 SE Monterey Rd,Stuart,FL,34994,(772) 419-5151,http://www.apexpaversandpools.com,Pools / Pavers,Custom swimming pools and pavers,27.176103,-80.243256,assets/business-cards/apex-pavers-and-pools.jpg
The Barn Theatre,2400 SE Ocean Blvd #3312,Stuart,FL,34996,(772) 287-4884,http://www.barn-theatre.com,Performing Arts,Community theatre celebrating 54 years since 1969,27.194516,-80.219708,assets/business-cards/barn-theatre.jpg
Closets by Design,3209 SW 42nd Ave,Palm City,FL,34990,(772) 210-5398,http://www.closetsbydesign.com,Home Organization,"Custom closets, garages, home offices, wall beds, media centers, laundry rooms, pantries, and hobby rooms. 40+15% off with free installation",27.16603,-80.310427,assets/business-cards/closets-by-design.jpg
Ferreira Construction Company,13000 SE Flora Ave,Hobe Sound,FL,33455,(772) 286-5123,http://www.ferreiraconstruction.com,Construction,"Civil, utility, electrical, and marine construction serving Palm Beach, Okeechobee, Martin, St. Lucie, Indian River, and Brevard Counties",27.046329,-80.147898,assets/business-cards/ferreira-construction.jpg
Ferrellgas,,,,,(844) 675-6557,http://www.ferrellgas.com,Propane Gas,Propane gas delivery and services. Fuel Life Simply,,,assets/business-cards/ferrellgas.jpg
Stuart Cardiology Group,,Stuart,FL,,(772) 286-9400,http://www.stuartcardiology.com,Healthcare / Cardiology,"Practice limited to cardiovascular diseases including cardiac catheterization. Locations in Stuart, St. Lucie West, Tradition, Palm Beach Gardens, and Vero Beach",,,assets/business-cards/stuart-cardiology-group.jpg
Hobe Sound Farms,1425 SE Bridge Road,Hobe Sound,FL,33455,(844) HOBE-SND,http://www.hobesoundfarms.com,Farm / Farmers Market,"Farmers market, workshops, field trips, private events, family fun days, plants and produce. Farm stand Mon-Fri 8am-5pm, Market Sat-Sun 9am-2pm",27.044817,-80.236264,
Be A Man Buy Land,4260 SE Federal Hwy Suite A,Stuart,FL,34997,(855) 455-5263,http://www.beamanbyland.com,Land Sales,"Recreational land for sale. $500 down, $87/month. Camp, hunt, ride. No banks, no credit checks, no fees",27.152537,-80.21945,
Wild Side Pawn and Jewelry,4260 SE Federal Hwy,Stuart,FL,34997,,http://www.wildsidepawnandjewelry.com,Pawn Shop / Jewelry,Voted Best Pawn Shop on the Treasure Coast,27.152371,-80.219359,
